datetime,pv_generation_kwh,ev_demand_kwh,mall_demand_kwh,pv_to_ev_kwh,pv_to_bess_kwh,pv_to_mall_kwh,pv_curtailed_kwh,bess_charge_kwh,bess_discharge_kwh,bess_to_ev_kwh,bess_to_mall_kwh,grid_to_ev_kwh,grid_to_mall_kwh,grid_to_bess_kwh,grid_import_total_kwh,bess_soc_percent,bess_mode,tariff_osinergmin_soles_kwh,cost_grid_import_soles,peak_reduction_savings_soles,peak_reduction_savings_normalized,co2_avoided_indirect_kg,co2_avoided_indirect_normalized,mall_grid_import_kwh,bess_soc_kwh,hour,day
2024-01-01 00:00:00,0.0,0.0,487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.0,0.0,487.0,50.0,idle,0.28,136.36,0.0,0.0,0.0,0.0,487.0,850.0,0,1
2024-01-01 01:00:00,0.0,0.0,646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,646.0,0.0,646.0,50.0,idle,0.28,180.88,0.0,0.0,0.0,0.0,646.0,850.0,1,1
2024-01-01 02:00:00,0.0,0.0,636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636.0,0.0,636.0,50.0,idle,0.28,178.08,0.0,0.0,0.0,0.0,636.0,850.0,2,1
2024-01-01 03:00:00,0.0,0.0,625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.0,0.0,625.0,50.0,idle,0.28,175.00000000000003,0.0,0.0,0.0,0.0,625.0,850.0,3,1
2024-01-01 04:00:00,0.0,0.0,622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0,0.0,622.0,50.0,idle,0.28,174.16000000000005,0.0,0.0,0.0,0.0,622.0,850.0,4,1
2024-01-01 05:00:00,0.0,0.0,608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,0.0,608.0,50.0,idle,0.28,170.24,0.0,0.0,0.0,0.0,608.0,850.0,5,1
2024-01-01 06:00:00,167.2143549040596,0.0,619,0.0,167.2143549040596,0.0,0.0,167.2143549040596,0.0,0.0,0.0,0.0,619.0,0.0,619.0,59.58708193382216,charge,0.28,173.32000000000002,0.0,0.0,0.0,0.0,619.0,1012.9803928749767,6,1
2024-01-01 07:00:00,952.805506951468,0.0,652,0.0,400.0,552.805506951468,0.0,400.0,0.0,0.0,0.0,0.0,99.19449304853195,0.0,99.19449304853195,82.52071568631384,charge,0.28,27.774458053588955,0.0,0.0,0.0,0.0,99.19449304853195,1402.8521666673353,7,1
2024-01-01 08:00:00,1629.4000190352165,0.0,665,0.0,400.0,665.0,564.4000190352165,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,charge,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,8,1
2024-01-01 09:00:00,2614.18441944971,22.94,683,22.94,0.0,683.0,1908.2444194497095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,9,1
2024-01-01 10:00:00,2886.689477778584,27.528,708,27.528,0.0,708.0,2151.1614777785844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,10,1
2024-01-01 11:00:00,2886.689477778584,45.88,711,45.88,0.0,711.0,2129.809477778584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11,1
2024-01-01 12:00:00,2886.689477778584,36.704,914,36.704,0.0,914.0,1935.985477778584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,12,1
2024-01-01 13:00:00,1407.6952566845382,55.056,1003,55.056,0.0,1003.0,349.63925668453817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,13,1
2024-01-01 14:00:00,1357.888944350109,50.468,1017,50.468,0.0,1017.0,290.42094435010904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,14,1
2024-01-01 15:00:00,1578.0332718828888,100.93599999999996,1037,100.93599999999996,0.0,1037.0,440.0972718828889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,15,1
2024-01-01 16:00:00,873.4389981102496,110.11199999999994,1027,110.11199999999994,0.0,763.3269981102496,0.0,0.0,0.0,0.0,0.0,0.0,263.6730018897504,0.0,263.6730018897504,100.0,idle,0.28,73.8284405291301,0.0,0.0,0.0,0.0,263.6730018897504,1700.0,16,1
2024-01-01 17:00:00,179.73766390238518,100.93599999999996,1020,100.93599999999996,0.0,78.80166390238523,0.0,0.0,0.0,0.0,0.0,0.0,941.1983360976149,0.0,941.1983360976149,100.0,idle,0.28,263.5355341073321,0.0,0.0,0.0,0.0,941.1983360976149,1700.0,17,1
2024-01-01 18:00:00,0.0,91.75999999999996,1058,0.0,0.0,0.0,0.0,0.0,91.75999999999996,91.75999999999996,0.0,0.0,1058.0,0.0,1058.0,94.46213096545095,discharge,0.45,476.1,0.0,0.0,41.48469599999999,0.2293999999999999,1058.0,1605.8562264126663,18,1
2024-01-01 19:00:00,0.0,110.11199999999994,1071,0.0,0.0,0.0,0.0,0.0,110.11199999999994,110.11199999999994,0.0,0.0,1071.0,0.0,1071.0,87.81668812399211,discharge,0.45,481.95,0.0,0.0,49.781635199999975,0.2752799999999998,1071.0,1492.8836981078657,19,1
2024-01-01 20:00:00,0.0,100.93599999999996,1054,0.0,0.0,0.0,0.0,0.0,100.93599999999996,100.93599999999996,0.0,0.0,1054.0,0.0,1054.0,81.72503218598817,discharge,0.45,474.3,0.0,0.0,45.63316559999998,0.2523399999999998,1054.0,1389.3255471617988,20,1
2024-01-01 21:00:00,0.0,123.87599999999992,1009,0.0,0.0,0.0,0.0,0.0,123.87599999999992,123.87599999999992,0.0,0.0,1009.0,0.0,1009.0,74.24890898934696,discharge,0.45,454.05,0.0,0.0,56.004339599999966,0.3096899999999998,1009.0,1262.2314528188983,21,1
2024-01-01 22:00:00,0.0,100.93599999999996,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.93599999999996,911.0,0.0,1011.936,74.24890898934696,idle,0.28,283.34208,0.0,0.0,0.0,0.0,911.0,1262.2314528188983,22,1
2024-01-01 23:00:00,0.0,0.0,738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,0.0,738.0,74.24890898934696,idle,0.28,206.64,0.0,0.0,0.0,0.0,738.0,1262.2314528188983,23,1
2024-01-02 00:00:00,0.0,0.0,659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,0.0,659.0,74.24890898934696,idle,0.28,184.52,0.0,0.0,0.0,0.0,659.0,1262.2314528188983,0,2
2024-01-02 01:00:00,0.0,0.0,604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,0.0,604.0,74.24890898934696,idle,0.28,169.12,0.0,0.0,0.0,0.0,604.0,1262.2314528188983,1,2
2024-01-02 02:00:00,0.0,0.0,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,0.0,567.0,74.24890898934696,idle,0.28,158.76000000000002,0.0,0.0,0.0,0.0,567.0,1262.2314528188983,2,2
2024-01-02 03:00:00,0.0,0.0,577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,577.0,0.0,577.0,74.24890898934696,idle,0.28,161.56,0.0,0.0,0.0,0.0,577.0,1262.2314528188983,3,2
2024-01-02 04:00:00,0.0,0.0,588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,0.0,588.0,74.24890898934696,idle,0.28,164.64,0.0,0.0,0.0,0.0,588.0,1262.2314528188983,4,2
2024-01-02 05:00:00,0.0,0.0,567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,0.0,567.0,74.24890898934696,idle,0.28,158.76000000000002,0.0,0.0,0.0,0.0,567.0,1262.2314528188983,5,2
2024-01-02 06:00:00,68.20770202924705,0.0,684,0.0,68.20770202924705,0.0,0.0,68.20770202924705,0.0,0.0,0.0,0.0,684.0,0.0,684.0,78.15953513294154,charge,0.28,191.52,0.0,0.0,0.0,0.0,684.0,1328.7120972600062,6,2
2024-01-02 07:00:00,298.49403324612945,0.0,800,0.0,298.49403324612945,0.0,0.0,298.49403324612945,0.0,0.0,0.0,0.0,800.0,0.0,800.0,95.27341722236858,charge,0.28,224.00000000000003,0.0,0.0,0.0,0.0,800.0,1619.6480927802659,7,2
2024-01-02 08:00:00,980.999339150895,0.0,1168,0.0,400.0,580.999339150895,0.0,400.0,0.0,0.0,0.0,0.0,587.000660849105,0.0,587.000660849105,100.0,charge,0.28,164.3601850377494,0.0,0.0,0.0,0.0,587.000660849105,1700.0,8,2
2024-01-02 09:00:00,2079.424659559644,55.056,1412,55.056,0.0,1412.0,612.3686595596441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,9,2
2024-01-02 10:00:00,2886.689477778584,45.88,2028,45.88,0.0,2028.0,812.8094777785841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,10,2
2024-01-02 11:00:00,2886.689477778584,55.056,2459,55.056,0.0,2459.0,372.63347777858417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11,2
2024-01-02 12:00:00,2886.689477778584,64.232,2514,64.232,0.0,2514.0,308.45747777858423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,12,2
2024-01-02 13:00:00,1558.8509539256966,77.99599999999998,2546,77.99599999999998,0.0,1480.8549539256965,0.0,0.0,400.0,0.0,400.0,0.0,665.1450460743035,0.0,665.1450460743035,75.85933289211401,discharge,0.28,186.24061290080505,112.0,0.762078951379363,180.84,1.0,665.1450460743035,1289.6086591659382,13,2
2024-01-02 14:00:00,2184.4023082260496,82.58399999999997,2573,82.58399999999997,400.0,1701.8183082260496,0.0,400.0,0.0,0.0,0.0,0.0,871.1816917739504,0.0,871.1816917739504,98.7929666446057,charge,0.28,243.93087369670616,0.0,0.0,0.0,0.0,871.1816917739504,1679.480432958297,14,2
2024-01-02 15:00:00,1558.7103466248775,77.99599999999998,2565,77.99599999999998,400.0,1080.7143466248776,0.0,400.0,0.0,0.0,0.0,0.0,1484.2856533751224,0.0,1484.2856533751224,100.0,charge,0.28,415.5999829450343,0.0,0.0,0.0,0.0,1484.2856533751224,1700.0,15,2
2024-01-02 16:00:00,1105.4315951702931,100.93599999999996,2583,100.93599999999996,0.0,1004.4955951702932,0.0,0.0,400.0,0.0,400.0,0.0,1178.5044048297068,0.0,1178.5044048297068,75.85933289211401,discharge,0.28,329.981233352318,112.0,0.762078951379363,180.84,1.0,1178.5044048297068,1289.6086591659382,16,2
2024-01-02 17:00:00,241.8706750951441,96.34799999999996,2559,0.0,241.8706750951441,0.0,0.0,241.8706750951441,0.0,0.0,0.0,96.34799999999996,2559.0,0.0,2655.348,89.72676658736388,charge,0.28,743.4974400000001,0.0,0.0,0.0,0.0,2559.0,1525.355031985186,17,2
2024-01-02 18:00:00,0.0,110.11199999999994,2445,0.0,0.0,0.0,0.0,0.0,400.0,110.11199999999994,289.88800000000003,0.0,2155.112,0.0,2155.112,65.58609947947791,discharge,0.45,969.8004,130.44960000000003,0.8876151283558693,180.84,1.0,2155.112,1114.9636911511245,18,2
2024-01-02 19:00:00,0.0,128.4639999999999,2386,0.0,0.0,0.0,0.0,0.0,400.0,128.4639999999999,271.53600000000006,0.0,2114.464,0.0,2114.464,41.44543237159193,discharge,0.45,951.5088,122.19120000000002,0.8314226925338039,180.84,1.0,2114.464,704.5723503170627,19,2
2024-01-02 20:00:00,0.0,123.87599999999992,2288,0.0,0.0,0.0,0.0,0.0,367.52354972042735,123.87599999999992,231.46517223440603,0.0,2056.534827765594,0.0,2056.534827765594,20.0,discharge,0.45,925.4406724945172,104.15932750548272,0.708728848944267,160.64974396717494,0.8883529305860149,2056.534827765594,340.0,20,2
2024-01-02 21:00:00,0.0,128.4639999999999,2089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.4639999999999,2089.0,0.0,2217.464,20.0,idle,0.45,997.8588,0.0,0.0,0.0,0.0,2089.0,340.0,21,2
2024-01-02 22:00:00,0.0,105.52399999999994,1216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.52399999999994,1216.0,0.0,1321.524,20.0,idle,0.28,370.02672,0.0,0.0,0.0,0.0,1216.0,340.0,22,2
2024-01-02 23:00:00,0.0,0.0,731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.0,0.0,731.0,20.0,idle,0.28,204.68,0.0,0.0,0.0,0.0,731.0,340.0,23,2
2024-01-03 00:00:00,0.0,0.0,659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,0.0,659.0,20.0,idle,0.28,184.52,0.0,0.0,0.0,0.0,659.0,340.0,0,3
2024-01-03 01:00:00,0.0,0.0,594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,594.0,0.0,594.0,20.0,idle,0.28,166.32000000000002,0.0,0.0,0.0,0.0,594.0,340.0,1,3
2024-01-03 02:00:00,0.0,0.0,605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0,0.0,605.0,20.0,idle,0.28,169.4,0.0,0.0,0.0,0.0,605.0,340.0,2,3
2024-01-03 03:00:00,0.0,0.0,553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0,0.0,553.0,20.0,idle,0.28,154.84,0.0,0.0,0.0,0.0,553.0,340.0,3,3
2024-01-03 04:00:00,0.0,0.0,563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,0.0,563.0,20.0,idle,0.28,157.64,0.0,0.0,0.0,0.0,563.0,340.0,4,3
2024-01-03 05:00:00,0.0,0.0,536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,536.0,20.0,idle,0.28,150.08,0.0,0.0,0.0,0.0,536.0,340.0,5,3
2024-01-03 06:00:00,143.49854189830646,0.0,622,0.0,143.49854189830646,0.0,0.0,143.49854189830646,0.0,0.0,0.0,0.0,622.0,0.0,622.0,28.22735750978086,charge,0.28,174.16000000000005,0.0,0.0,0.0,0.0,622.0,479.8650776662746,6,3
2024-01-03 07:00:00,914.6503157530964,0.0,757,0.0,400.0,514.6503157530964,0.0,400.0,0.0,0.0,0.0,0.0,242.3496842469036,0.0,242.3496842469036,51.16099126227254,charge,0.28,67.85791158913302,0.0,0.0,0.0,0.0,242.3496842469036,869.7368514586332,7,3
2024-01-03 08:00:00,1950.986695440056,0.0,1110,0.0,400.0,1110.0,440.9866954400561,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.09462501476422,charge,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1259.6086252509917,8,3
2024-01-03 09:00:00,2447.9804238713928,36.704,1258,36.704,400.0,1258.0,753.2764238713928,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.02825876725588,charge,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1649.48039904335,9,3
2024-01-03 10:00:00,2886.689477778584,32.116,1903,32.116,400.0,1903.0,551.5734777785842,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,charge,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,10,3
2024-01-03 11:00:00,2886.689477778584,36.704,2360,36.704,0.0,2360.0,489.985477778584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11,3
2024-01-03 12:00:00,2753.9233644013825,50.468,2466,50.468,0.0,2466.0,237.45536440138267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,12,3
2024-01-03 13:00:00,2853.0221082770177,32.116,2404,32.116,0.0,2404.0,416.90610827701767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,13,3
2024-01-03 14:00:00,2886.689477778584,64.232,2388,64.232,0.0,2388.0,434.4574777785842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,14,3
2024-01-03 15:00:00,2402.349270466001,73.40799999999999,2446,73.40799999999999,0.0,2328.941270466001,0.0,0.0,400.0,0.0,400.0,0.0,0.0,0.0,0.0,75.85933289211401,discharge,0.28,0.0,112.0,0.762078951379363,180.84,1.0,0.0,1289.6086591659382,15,3
2024-01-03 16:00:00,776.8904836649277,82.58399999999997,2315,82.58399999999997,400.0,294.3064836649278,0.0,400.0,0.0,0.0,0.0,0.0,2020.693516335072,0.0,2020.693516335072,98.7929666446057,charge,0.28,565.7941845738203,0.0,0.0,0.0,0.0,2020.693516335072,1679.480432958297,16,3
2024-01-03 17:00:00,163.1177754666644,87.17199999999997,2267,0.0,163.1177754666644,0.0,0.0,163.1177754666644,0.0,0.0,0.0,87.17199999999997,2267.0,0.0,2354.172,100.0,charge,0.28,659.1681600000001,0.0,0.0,0.0,0.0,2267.0,1700.0,17,3
2024-01-03 18:00:00,0.0,77.99599999999998,2254,0.0,0.0,0.0,0.0,0.0,400.0,77.99599999999998,322.004,0.0,1931.996,0.0,1931.996,75.85933289211401,discharge,0.45,869.3982000000001,144.9018,0.9859518910444838,180.84,1.0,1931.996,1289.6086591659382,18,3
2024-01-03 19:00:00,0.0,110.11199999999994,2215,0.0,0.0,0.0,0.0,0.0,400.0,110.11199999999994,289.88800000000003,0.0,1925.112,0.0,1925.112,51.71866578422804,discharge,0.45,866.3004000000001,130.44960000000003,0.8876151283558693,180.84,1.0,1925.112,879.2173183318766,19,3
2024-01-03 20:00:00,0.0,119.28799999999993,2158,0.0,0.0,0.0,0.0,0.0,396.5759999999999,119.28799999999993,277.288,0.0,1880.712,0.0,1880.712,27.78464278678556,discharge,0.45,846.3204000000001,124.7796,0.8490348814422889,179.29200959999997,0.99144,1880.712,472.33892737535456,20,3
2024-01-03 21:00:00,0.0,128.4639999999999,1993,0.0,0.0,0.0,0.0,0.0,129.01561146738842,128.4639999999999,0.5240308940190925,0.0,1992.475969105981,0.0,1992.475969105981,20.0,discharge,0.45,896.6141860976915,0.2358139023085916,0.0016045429588572,58.31548876718599,0.3224700772350475,1992.475969105981,340.0,21,3
2024-01-03 22:00:00,0.0,87.17199999999997,1213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.17199999999997,1213.0,0.0,1300.172,20.0,idle,0.28,364.04816000000005,0.0,0.0,0.0,0.0,1213.0,340.0,22,3
2024-01-03 23:00:00,0.0,0.0,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.0,0.0,733.0,20.0,idle,0.28,205.24,0.0,0.0,0.0,0.0,733.0,340.0,23,3
2024-01-04 00:00:00,0.0,0.0,642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,642.0,0.0,642.0,20.0,idle,0.28,179.76000000000002,0.0,0.0,0.0,0.0,642.0,340.0,0,4
2024-01-04 01:00:00,0.0,0.0,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,0.0,609.0,20.0,idle,0.28,170.52,0.0,0.0,0.0,0.0,609.0,340.0,1,4
2024-01-04 02:00:00,0.0,0.0,616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.0,0.0,616.0,20.0,idle,0.28,172.48000000000002,0.0,0.0,0.0,0.0,616.0,340.0,2,4
2024-01-04 03:00:00,0.0,0.0,598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0,598.0,20.0,idle,0.28,167.44000000000003,0.0,0.0,0.0,0.0,598.0,340.0,3,4
2024-01-04 04:00:00,0.0,0.0,584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,584.0,20.0,idle,0.28,163.52,0.0,0.0,0.0,0.0,584.0,340.0,4,4
2024-01-04 05:00:00,0.0,0.0,533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,0.0,533.0,20.0,idle,0.28,149.24,0.0,0.0,0.0,0.0,533.0,340.0,5,4
2024-01-04 06:00:00,141.45157840969625,0.0,646,0.0,141.45157840969625,0.0,0.0,141.45157840969625,0.0,0.0,0.0,0.0,646.0,0.0,646.0,28.109996732399583,charge,0.28,180.88,0.0,0.0,0.0,0.0,646.0,477.8699444507929,6,4
2024-01-04 07:00:00,1072.3803782910268,0.0,738,0.0,400.0,672.3803782910268,0.0,400.0,0.0,0.0,0.0,0.0,65.61962170897323,0.0,65.61962170897323,51.04363048489127,charge,0.28,18.373494078512504,0.0,0.0,0.0,0.0,65.61962170897323,867.7417182431516,7,4
2024-01-04 08:00:00,2113.073413200998,0.0,947,0.0,400.0,947.0,766.073413200998,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.97726423738294,charge,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1257.61349203551,8,4
2024-01-04 09:00:00,2373.31533453725,27.528,1251,27.528,400.0,1251.0,694.7873345372498,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.91089798987464,charge,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1647.485265827869,9,4
2024-01-04 10:00:00,2886.689477778584,50.468,1983,50.468,400.0,1983.0,453.2214777785844,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,charge,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,10,4
2024-01-04 11:00:00,2886.689477778584,41.292,2439,41.292,0.0,2439.0,406.3974777785843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,11,4
2024-01-04 12:00:00,2886.689477778584,45.88,2428,45.88,0.0,2428.0,412.8094777785841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,idle,0.28,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,12,4
2024-01-04 13:00:00,1917.78090779956,64.232,2419,64.232,0.0,1853.54890779956,0.0,0.0,400.0,0.0,400.0,0.0,165.45109220043992,0.0,165.45109220043992,75.85933289211401,discharge,0.28,46.32630581612318,112.0,0.762078951379363,180.84,1.0,165.45109220043992,1289.6086591659382,13,4
2024-01-04 14:00:00,2284.9905955246963,64.232,2556,64.232,400.0,1820.7585955246964,0.0,400.0,0.0,0.0,0.0,0.0,735.2414044753036,0.0,735.2414044753036,98.7929666446057,charge,0.28,205.86759325308503,0.0,0.0,0.0,0.0,735.2414044753036,1679.480432958297,14,4
2024-01-04 15:00:00,1565.5980851791212,96.34799999999996,2508,96.34799999999996,400.0,1069.2500851791212,0.0,400.0,0.0,0.0,0.0,0.0,1438.7499148208788,0.0,1438.7499148208788,100.0,charge,0.28,402.8499761498461,0.0,0.0,0.0,0.0,1438.7499148208788,1700.0,15,4
2024-01-04 16:00:00,1166.5106866633314,73.40799999999999,2402,73.40799999999999,0.0,1093.1026866633315,0.0,0.0,400.0,0.0,400.0,0.0,908.8973133366684,0.0,908.8973133366684,75.85933289211401,discharge,0.28,254.4912477342672,112.0,0.762078951379363,180.84,1.0,908.8973133366684,1289.6086591659382,16,4
2024-01-04 17:00:00,226.01542906906008,87.17199999999997,2336,0.0,226.01542906906008,0.0,0.0,226.01542906906008,0.0,0.0,0.0,87.17199999999997,2336.0,0.0,2423.172,88.81772057381923,charge,0.28,678.4881600000001,0.0,0.0,0.0,0.0,2336.0,1509.9012497549268,17,4
2024-01-04 18:00:00,0.0,91.75999999999996,2278,0.0,0.0,0.0,0.0,0.0,400.0,91.75999999999996,308.24,0.0,1969.76,0.0,1969.76,64.67705346593326,discharge,0.45,886.392,138.708,0.9438075641779344,180.84,1.0,1969.76,1099.5099089208654,18,4
2024-01-04 19:00:00,0.0,105.52399999999994,2189,0.0,0.0,0.0,0.0,0.0,400.0,105.52399999999994,294.47600000000006,0.0,1894.524,0.0,1894.524,40.53638635804728,discharge,0.45,852.5358,132.51420000000002,0.9016632373113856,180.84,1.0,1894.524,689.1185680868039,19,4
2024-01-04 20:00:00,0.0,110.11199999999994,2170,0.0,0.0,0.0,0.0,0.0,352.3927247469749,110.11199999999994,230.1666885096262,0.0,1939.8333114903735,0.0,1939.8333114903735,20.0,discharge,0.45,872.9249901706681,103.5750098293318,0.7047529899986106,153.83999507520198,0.8506967212740654,1939.8333114903735,340.0,20,4
2024-01-04 21:00:00,0.0,133.0519999999999,2038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0519999999999,2038.0,0.0,2171.052,20.0,idle,0.45,976.9734,0.0,0.0,0.0,0.0,2038.0,340.0,21,4
2024-01-04 22:00:00,0.0,64.232,1205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.232,1205.0,0.0,1269.232,20.0,idle,0.28,355.38496000000004,0.0,0.0,0.0,0.0,1205.0,340.0,22,4
2024-01-04 23:00:00,0.0,0.0,729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,0.0,729.0,20.0,idle,0.28,204.12000000000003,0.0,0.0,0.0,0.0,729.0,340.0,23,4
2024-01-05 00:00:00,0.0,0.0,649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,0.0,649.0,20.0,idle,0.28,181.72000000000003,0.0,0.0,0.0,0.0,649.0,340.0,0,5
2024-01-05 01:00:00,0.0,0.0,608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.0,0.0,608.0,20.0,idle,0.28,170.24,0.0,0.0,0.0,0.0,608.0,340.0,1,5
2024-01-05 02:00:00,0.0,0.0,595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595.0,0.0,595.0,20.0,idle,0.28,166.60000000000002,0.0,0.0,0.0,0.0,595.0,340.0,2,5
2024-01-05 03:00:00,0.0,0.0,584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,584.0,20.0,idle,0.28,163.52,0.0,0.0,0.0,0.0,584.0,340.0,3,5
2024-01-05 04:00:00,0.0,0.0,574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.0,0.0,574.0,20.0,idle,0.28,160.72000000000003,0.0,0.0,0.0,0.0,574.0,340.0,4,5
2024-01-05 05:00:00,0.0,0.0,536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,536.0,20.0,idle,0.28,150.08,0.0,0.0,0.0,0.0,536.0,340.0,5,5
2024-01-05 06:00:00,163.56442540978244,0.0,615,0.0,163.56442540978244,0.0,0.0,163.56442540978244,0.0,0.0,0.0,0.0,615.0,0.0,615.0,29.37781656821173,charge,0.28,172.20000000000002,0.0,0.0,0.0,0.0,615.0,499.4228816595994,6,5
